Hour;Jun-29-Jul-02;;;
0;79;;;
1;64;;;
2;66;;;
3;92;;;
4;65;;;
5;54;;;
6;77;;;
7;63;;;
8;54;;;
9;68;;;
10;76;;;
11;103;;;
12;123;;;
13;97;;;
14;136;;;
15;116;;;
16;125;;;
17;133;;;
18;155;;;
19;123;;;
20;124;;;
21;128;;;
22;113;;;
23;81;;;
24;70;;;
25;70;;;
26;70;;;
27;70;;;
28;70;;;
29;70;;;
30;70;;;
31;70;;;
32;70;;;
33;70;;;
34;70;;;
35;70;;;
36;70;;;
37;70;;;
38;70;;;
39;70;;;
40;70;;;
41;70;;;
42;70;;;
43;70;;;
44;70;;;
45;70;;;
46;70;;;
47;70;;;
48;270;;;
49;217;;;
50;208;;;
51;199;;;
52;168;;;
53;128;;;
54;146;;;
55;191;;;
56;161;;;
57;110;;;
58;141;;;
59;160;;;
60;173;;;
61;192;;;
62;165;;;
63;224;;;
64;229;;;
65;225;;;
66;197;;;
67;202;;;
68;236;;;
69;174;;;
70;132;;;
71;118;;;
72;127;;;
73;90;;;
74;108;;;
75;103;;;
76;96;;;
77;96;;;
78;98;;;
79;87;;;
80;76;;;
81;74;;;
82;68;;;
83;113;;;
84;107;;;
85;130;;;
86;147;;;
87;171;;;
88;165;;;
89;181;;;
90;176;;;
91;348;;;
92;212;;;
93;309;;;
94;156;;;
95;147;;;
